,open,high,low,close,adjclose,volume,ticker
2004-10-09,20.059999465942383,20.079999923706055,19.530000686645508,19.600000381469727,11.135296821594238,56608400,KO
2004-10-16,19.549999237060547,20.125,19.375,19.450000762939453,11.050077438354492,70787800,KO
2004-10-23,19.510000228881836,20.450000762939453,19.149999618530273,20.329999923706055,11.550027847290039,78240000,KO
2004-10-30,20.350000381469727,20.8700008392334,20.0,20.700000762939453,11.760236740112305,67596000,KO
2004-11-06,20.774999618530273,20.799999237060547,19.68000030517578,20.395000457763672,11.586956977844238,90909400,KO
2004-11-13,20.350000381469727,20.5,19.854999542236328,19.864999771118164,11.285853385925293,72954200,KO
2004-11-20,19.950000762939453,19.969999313354492,19.69499969482422,19.93000030517578,11.322773933410645,48944800,KO
2004-11-27,20.0,20.625,19.604999542236328,20.354999542236328,11.564233779907227,95733800,KO
2004-12-04,20.385000228881836,20.459999084472656,20.03499984741211,20.264999389648438,11.585766792297363,61982600,KO
2004-12-11,20.299999237060547,20.795000076293945,20.1200008392334,20.475000381469727,11.705830574035645,76249600,KO
2004-12-18,20.600000381469727,20.899999618530273,20.399999618530273,20.7549991607666,11.865909576416016,49360200,KO
2004-12-25,20.729999542236328,20.954999923706055,20.649999618530273,20.81999969482422,11.903070449829102,49367600,KO
2005-01-01,20.950000762939453,20.985000610351562,20.274999618530273,20.579999923706055,11.765856742858887,63974600,KO
2005-01-08,20.53499984741211,20.764999389648438,20.30500030517578,20.485000610351562,11.7115478515625,49755800,KO
2005-01-15,20.360000610351562,20.770000457763672,20.299999237060547,20.454999923706055,11.694393157958984,45371600,KO
2005-01-22,20.475000381469727,21.0,20.375,20.7450008392334,11.860191345214844,63631600,KO
2005-01-29,20.885000228881836,21.2549991607666,20.565000534057617,21.235000610351562,12.14033031463623,63258400,KO
2005-02-05,21.295000076293945,21.55500030517578,21.1299991607666,21.3799991607666,12.22322940826416,51228800,KO
2005-02-12,21.479999542236328,22.075000762939453,21.104999542236328,21.479999542236328,12.280397415161133,78262000,KO
2005-02-19,21.399999618530273,21.575000762939453,21.184999465942383,21.510000228881836,12.297550201416016,48628600,KO
2005-02-26,21.43000030517578,21.885000228881836,21.344999313354492,21.81999969482422,12.474781036376953,55533200,KO
2005-03-05,21.770000457763672,21.924999237060547,21.149999618530273,21.239999771118164,12.143194198608398,55270800,KO
2005-03-12,21.299999237060547,21.375,20.700000762939453,20.729999542236328,11.92916488647461,75902000,KO
2005-03-19,20.809999465942383,20.934999465942383,20.454999923706055,20.600000381469727,11.854358673095703,50530200,KO
2005-03-26,20.704999923706055,21.0049991607666,20.545000076293945,20.690000534057617,11.90615177154541,56866200,KO
2005-04-02,20.799999237060547,21.200000762939453,20.625,21.049999237060547,12.113316535949707,44842400,KO
2005-04-09,21.125,21.28499984741211,20.575000762939453,20.645000457763672,11.880253791809082,65979000,KO
2005-04-16,20.559999465942383,21.459999084472656,20.3700008392334,21.065000534057617,12.121944427490234,87287600,KO
2005-04-23,21.21500015258789,21.75,21.05500030517578,21.719999313354492,12.498867988586426,67308400,KO
